北京;3500;3134;1560;15669;0.08;0.02;0.002;0.12;0.2;0.1;0.01;0.003;0.008;0.12
上海;3500;3022;1820;15108;0.08;0.02;0.005;0.07;0.21;0.11;0.015;0.005;0.01;0.07
广州;3500;2461;1550;12303;0.08;0.02;0.01;0.08;0.2;0.08;0.02;0.005;0.0085;0.08
深圳;3500;2336;1808;14754;0.08;0.02;0.01;0.05;0.1;0.05;0.02;0.005;0.005;0.05
杭州;3500;2005;1470;6870;0.08;0.02;0.01;0.08;0.14;0.115;0.02;0.005;0.008;0.08
苏州;3500;2387;1480;12915;0.08;0.02;0.01;0.08;0.2;0.08;0.02;0.005;0.01;0.08
宁波;3500;2166;1470;8423;0.08;0.02;0.01;0.08;0.12;0.13;0.02;0.004;0.007;0.08
南京;3500;2200;1480;13678;0.08;0.02;0.005;0.08;0.2;0.09;0.015;0.005;0.008;0.08
厦门;3500;2626;1170;9114;0.08;0.02;0.01;0.08;0.14;0.08;0.02;0.005;0.008;0.08
珠海;3500;2139;1310;8043;0.08;0.02;0.01;0.1;0.1;0.06;0.01;0.002;0.007;0.1
武汉;3500;2039;1300;8106;0.08;0.02;0.01;0.08;0.2;0.08;0.02;0.005;0.007;0.08
成都;3500;1437;1200;7629;0.08;0.02;0.01;0.07;0.8;0.075;0.02;0.006;0.006;0.07
重庆;3500;3783;1250;11349;0.08;0.02;0.01;0.07;0.2;0.07;0.02;0.006;0.005;0.07
西安;3500;2293;1170;7572;0.08;0.02;0.01;0.08;0.2;0.07;0.02;0.005;0.005;0.08
昆明;3500;3242;1130;7248;0.08;0.02;0.005;0.1;0.2;0.1;0.01;0.003;0.005;0.1
青岛;3500;1870;1500;8190;0.08;0.02;0.01;0.08;0.2;0.09;0.01;0.005;0.01;0.08
沈阳;3500;2436;1300;9645;0.08;0.02;0.01;0.08;0.19;0.08;0.02;0.02;0.008;0.08
天津;3500;2530;1680;14508;0.08;0.02;0.01;0.11;0.2;0.09;0.02;0.005;0.008;0.11
其他;3500;1000;1000;15000;0.08;0.02;0.01;0.08;0.2;0.1;0.01;0.005;0.005;0.08
